what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012075942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012080174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012081758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391012089720
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012092798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012094965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391012103192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012107989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012110503
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1391012120266
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391012121507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391012134614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391012148184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012150370
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012153279
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012161766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012164303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012183535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012205126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391012207811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012298838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012302595
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1391012302699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1391012306973
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391012334172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012349399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012403454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012425950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012494830
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391012502720
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1391012508856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012512486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012513604
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391012514396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012551830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012608831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391012646468
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391012657176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012662116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012666160
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391012666247
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391012666579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012673287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012685955
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391012688057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012692822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012724053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391012751644
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391012754301
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391012758427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391012824699
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391012853778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012860854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012862857
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391012877651
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391012885279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012887718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012888853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391012892467
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391012892969
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391012912419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012913391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012913535
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391012922150
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391012924161
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391012927561
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012930524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012933591
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391012938776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012943728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012949274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012989709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391012997423
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013030276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013035163
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1391013035203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013043019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013044789
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1391013044833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391013057198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1391013062212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391013067056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391013070349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391013072115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013090906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013093584
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1391013093626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013105694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013210295
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391013222903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013225655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013234528
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391013238335
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391013258458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013259806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013260272
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1391013273027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1391013273418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013277499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013279943
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1391013279984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013316848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013320850
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1391013325971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391013329404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013335113
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013337401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013350317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013353572
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391013356278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1391013359910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013379455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013387683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1391013394282
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391013405723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013407974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013409394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1391013409401
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013411313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013411897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1391013411902
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1391013415063
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1391013415075
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391013421110
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391013421264
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391013425822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013428805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013430634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013434867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013437690
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391013438103
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391013439178
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1391013442558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013443357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013444449
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391013449266
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391013449942
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391013449943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391013453358
